Start Latitude,Start Longitude,End Latitude,End Longitude,Transect number,CTD #/flow File,Depth (m),Total bacteria/mL,Active bacteria/mL,Dead bacteria/mL,Protozoa/mL,Phytoplankton/mL,,,,,,integrated Phytoplankton/mL
-68.69524,30.0044,-68.68751,30.01326,1,CTD38 syto13.001,9.985,175194.9307,25438.30137,77215.43027,,,,,,,,
-68.69524,30.0044,-68.68751,30.01326,1,CTD38 syto13.002,30.341,144202.2495,27739.65495,87510.45918,,,,,,,,
-68.69524,30.0044,-68.68751,30.01326,1,CTD38 syto13.003,50.188,155797.5152,23707.51004,87227.2103,,,,,,,,
-68.69524,30.0044,-68.68751,30.01326,1,CTD38 syto13.004,99.889,133382.694,21474.07534,70986,,,,,,,,0
-68.9223,29.99776,-68.92784,29.99578,1,CTD40 syto13.001,8.851,199207.3043,30465.47505,108517.1594,329.0295879,6661.924914,,,,,,
-68.9223,29.99776,-68.92784,29.99578,1,CTD40 syto13.002,34.927,130346.2544,26796.70404,57260.83908,281.7365841,5235.254437,,,,,,
-68.9223,29.99776,-68.92784,29.99578,1,CTD40 syto13.003,50.464,205766.1229,39885.95909,102624.829,84.21412217,2626.18501,,,,,,
-68.9223,29.99776,-68.92784,29.99578,1,CTD40 syto13.004,69.879,355356.9597,126641.5868,165611.1,60.69122199,1843.166024,,,,,,16366.53038
-63.33153,39.99561,-63.32081,39.99274,3,CTD46 syto13.001,9.811,233194.383,64144.7651,44685.2862,67.71408029,906.0788839,,,,,,
-63.33153,39.99561,-63.32081,39.99274,3,CTD46 syto13.002,60.371,393441.5352,111191.739,124732.8318,133.6304416,2159.298248,,,,,,
-63.33153,39.99561,-63.32081,39.99274,3,CTD46 syto13.003,81.449,284392.7431,31677.10599,191266.2907,83.75403627,1233.839949,,,,,,
-63.33153,39.99561,-63.32081,39.99274,3,CTD46 syto13.004,120.158,254060.528,22371.26711,87797.18584,38.77279154,266.1223419,,,,,,4565.339422
-64.66563,40.00376,-64.66512,40.00994,3,CTD48 syto13.001,9.503,319904.8101,43342.85714,67404.91228,80.72596326,2945.002734,,,,,,
-64.66563,40.00376,-64.66512,40.00994,3,CTD48 syto13.002,59.821,359803.6564,62986.68063,194769.2692,107.0939,2310.168415,,,,,,
-64.66563,40.00376,-64.66512,40.00994,3,CTD48 syto13.003,69.684,268858.1312,50172.68421,143218.5412,63.9840674,1364.993438,,,,,,
-64.66563,40.00376,-64.66512,40.00994,3,CTD48 syto13.004,89.603,253993.4104,48124.4558,113098.6151,75.56989944,957.2187262,,,,,,7577.383313
-66.00077,40.0042,-66.00065,39.99583,3,CTD50 syto13.001,11.217,257097.0997,95773.51049,71656.2,105.2281527,1688.661307,,,,,,
-66.00077,40.0042,-66.00065,39.99583,3,CTD50 syto13.002,39.887,449631.6983,189970.2485,126447.3895,117.7271628,1958.656816,,,,,,
-66.00077,40.0042,-66.00065,39.99583,3,CTD50 syto13.003,69.143,397789.989,123570.6185,116879.1993,82.01767211,796.5825962,,,,,,
-66.00077,40.0042,-66.00065,39.99583,3,CTD50 syto13.004,90.482,271833.623,70357.62722,85718.71743,41.96842664,979.2632883,,,,,,5423.164007
-67.00127,39.99693,-67.00088,39.96257,3,CTD52 syto13.001,10.106,229201.9945,25508.51744,49262.73684,36.80223449,3159.330284,,,,,,
-67.00127,39.99693,-67.00088,39.96257,3,CTD52 syto13.002,30.606,324220.2373,57209.71259,110337.3951,57.95401243,4161.956671,,,,,,
-67.00127,39.99693,-67.00088,39.96257,3,CTD52 syto13.003,100.576,246562.7757,65664.01152,139685.6092,119.8431739,5729.523652,,,,,,
-67.00127,39.99693,-67.00088,39.96257,3,CTD52 syto13.004,150.34,127204.859,14132.96406,43495.69149,42.61090626,583.2367794,,,,,,13634.04739
