OTUNumber,Kingdom,Supergroup,Division,Class,Order,Family,Genus,Species,Size,OSD1,OSD10,OSD100_1m_depth,OSD100_20m_depth,OSD101,OSD50,OSD99
Otu09201,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Oedogoniales,Oedogoniales_X,Oedogonium,,5,0,5,0,0,0,0,0
Otu09246,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Spermatozopsis,Spermatozopsis_similis,5,0,5,0,0,0,0,0
Otu09739,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,4,0,0,0,0,0,0,0
Otu09776,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,,4,0,0,0,0,0,0,0
Otu09954,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,4,0,0,0,0,0,0,0
Otu10083,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,4,0,2,0,0,0,0,0
Otu10193,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Sphaeropleales_X_unclassified,,4,0,0,0,0,0,0,0
Otu10717,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlorogonium,Chlorogonium_elongatum,4,0,0,0,0,0,0,0
Otu10916,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,,4,0,4,0,0,0,0,0
Otu11065,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chloromonas,Chloromonas_reticulata,3,0,0,0,0,0,0,0
Otu11087,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,,3,0,0,0,0,0,0,0
Otu11100,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,3,0,0,0,0,0,0,0
Otu11607,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,3,0,0,0,0,0,0,0
Otu11951,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_unclassified,Sphaeropleales_unclassified,,3,0,0,0,0,0,0,0
Otu12062,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_XX,Chlamydomonadales_XX_sp.,3,0,0,0,0,0,0,0
Otu12614,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,3,0,0,0,0,0,0,0
Otu12666,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,,3,0,3,0,0,0,0,0
Otu12679,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_unclassified,Sphaeropleales_unclassified,,3,0,0,0,0,0,0,0
Otu13210,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Pseudodidymocystis,Pseudodidymocystis_planctonica,3,0,0,0,0,0,0,0
Otu13242,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,3,0,3,0,0,0,0,0
Otu13267,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Coccomyxaceae,Coccomyxa,Coccomyxa_sp.,3,0,0,0,0,0,0,3
Otu13678,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Hariotina,Hariotina_reticulata,2,0,0,0,0,0,0,0
Otu13699,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Pseudomuriella,Pseudomuriella_sp.,2,0,0,0,0,0,0,0
Otu14503,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,2,0,2,0,0,0,0,0
Otu14972,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,2,0,0,0,0,0,0,0
Otu15031,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,2,0,0,0,0,0,0,0
Otu15131,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,2,0,2,0,0,0,0,0
Otu15159,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Scenedesmus,Scenedesmus_pupukensis,2,0,0,0,0,0,0,0
Otu15187,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,2,0,0,0,0,0,0,0
Otu15999,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,2,0,0,0,0,0,0,0
Otu16198,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,,2,0,0,0,0,0,0,0
Otu16230,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Tetraedron,Tetraedron_minimum,2,0,0,0,0,0,0,0
Otu16268,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,2,0,0,0,0,0,0,0
Otu16284,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,2,0,2,0,0,0,0,0
Otu17371,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Sphaeropleales_X_unclassified,,2,0,0,0,0,0,0,0
Otu17638,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Sphaeropleales_X_unclassified,,2,0,0,0,0,0,0,0
Otu17762,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,2,0,0,0,0,0,0,0
Otu18005,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,,2,0,2,0,0,0,0,0
Otu18087,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlorophyceae_X,Chlorophyceae_XX,Treubaria,Treubaria_schmidlei,2,0,2,0,0,0,0,0
Otu18143,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,Chlamydomonas_noctigama,2,0,0,0,0,0,0,0
Otu18504,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Carteria,Carteria_radiosa,2,0,1,0,0,0,0,0
Otu18621,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,2,0,0,0,0,0,0,0
Otu19302,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,2,0,0,0,0,0,0,0
Otu00875,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta undetermined,Chlorophyta_XX,Chlorophyta_XXX,Chlorophyta_XXXX,Chlorophyta_XXXX_sp.,295,0,0,0,0,0,0,0
